ratio,threshold,T_FINAL,N_FRAME
0.025,1.40 ,0.12,240
0.025,1.60 ,0.12,240
0.025,1.80 ,0.1,200
0.025,2.00 ,0.1,200
0.025,2.20 ,0.08,160
0.025,2.40 ,0.08,160
0.025,2.60 ,0.08,160
0.025,2.80 ,0.06,120
0.025,3.00 ,0.06,120
0.025,3.20 ,0.06,120
0.05,1.40 ,0.12,240
0.05,1.60 ,0.12,240
0.05,1.80 ,0.1,200
0.05,2.00 ,0.1,200
0.05,2.20 ,0.08,160
0.05,2.40 ,0.08,160
0.05,2.60 ,0.08,160
0.05,2.80 ,0.06,120
0.05,3.00 ,0.06,120
0.05,3.20 ,0.06,120
0.1,1.40 ,0.12,240
0.1,1.60 ,0.12,240
0.1,1.80 ,0.1,200
0.1,2.00 ,0.1,200
0.1,2.20 ,0.08,160
0.1,2.40 ,0.08,160
0.1,2.60 ,0.08,160
0.1,2.80 ,0.06,120
0.1,3.00 ,0.06,120
0.1,3.20 ,0.06,120
