p_threshold,phi_threshold,T_FINAL,T_STEP,N_FRAME
1.8,0.7,0.07,1.00E-07,175 
1.8,0.75,0.065,8.00E-08,163 
1.8,0.8,0.06,6.00E-08,150 
1.8,0.85,0.055,5.00E-08,138 
1.8,0.9,0.05,4.00E-08,125 
2.4,0.7,0.065,1.00E-07,163 
2.4,0.75,0.06,8.00E-08,150 
2.4,0.8,0.055,6.00E-08,138 
2.4,0.85,0.05,5.00E-08,125 
2.4,0.9,0.045,4.00E-08,113 
3,0.7,0.06,1.00E-07,150 
3,0.75,0.055,8.00E-08,138 
3,0.8,0.05,6.00E-08,125 
3,0.85,0.045,5.00E-08,113 
3,0.9,0.04,4.00E-08,100 
3.6,0.7,0.06,1.00E-07,150 
3.6,0.75,0.055,8.00E-08,138 
3.6,0.8,0.05,6.00E-08,125 
3.6,0.85,0.045,5.00E-08,113 
3.6,0.9,0.04,4.00E-08,100 
